"Ticker";"Sector";"Sector_ETF";"Price";"ATR_pct";"Long_Score";"Long_Signal";"Long_Entry";"Long_Stop";"Long_Target";"Short_Score";"Short_Signal";"Short_Entry";"Short_Stop";"Short_Target";"BOT_Score";"BOT_Setup";"BOT_Breakout";"BOT_Squeeze";"BOT_VolDec";"BOT_VolSurge";"BOT_Flags";"ADX10";"RSI14";"RSI_slope";"MA50_dist";"OBV_rising";"UpDn_ratio";"RS_vs_ETF";"Macro_Note";"Sector_Long_Gate";"Sector_Short_Gate";"Best_Signal";"Trend_Passes";"Pullback";"RS_3m";"Trend_Reason";"NextEarnings";"EarningsInDays";"IV15";"IV30";"IV90";"IV180";"RV30";"IVP";"IVR";"IVP_2y";"RVP";"VRP";"Optionality";"TermStr";"Vol_Date";"Composite";"Gate_Tech";"Gate_Opt";"All_Gates";"Rank"
"CLF";"Basic Materials";"XLB";9,76;5,41;8;"WATCH";9,78;9,35;10,85;3;"SKIP";9,74;9,54;10,24;8;5;3;0,538;0,875;1,22;"S:5/6 BK:3/4 | S1:+ S2:- S3:+ S4:+ S5:+ S6:+ | BK1:- BK2:+ BK3:+ BK4:+";22;55,7;-5,9;3,3;TRUE;1,66;9,2;"";TRUE;FALSE;"SKIP";FALSE;"none";-33,45;"fails: stage2, RS<=bench, no pullback";"20260720";84;70,9;65,3;66;67,2;62,1;44,2;NA;NA;39,4;5,01;"PARTIAL";"Contango";"20260427 17:27";9;TRUE;TRUE;TRUE;""
"NUE";"Basic Materials";"XLB";214,29;2,43;9;"WATCH";214,72;176,35;310,65;2;"SKIP";213,86;179,91;298,74;8;5;3;0,878;0,933;0,89;"S:5/6 BK:3/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:+ | BK1:+ BK2:+ BK3:+ BK4:-";54,1;83;6,9;20,3;TRUE;3,91;23,3;"";TRUE;FALSE;"SKIP";FALSE;"none";17,56;"fails: stage2, RSI, no pullback";"20260427";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;9;TRUE;FALSE;FALSE;""
"STLD";"Basic Materials";"XLB";226,79;3,1;9;"WATCH";227,24;186,35;329,47;2;"SKIP";226,34;190,12;316,89;7;4;3;0,884;0,965;0,98;"S:4/6 BK:3/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:- | BK1:+ BK2:+ BK3:+ BK4:-";41,7;79;10,5;20,5;TRUE;2,77;24,3;"";TRUE;FALSE;"SKIP";FALSE;"none";27,79;"fails: stage2, RSI, no pullback";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;9;TRUE;FALSE;FALSE;""
"AA";"Basic Materials";"XLB";66,01;4,89;8;"WATCH";66,14;63,7;72,26;3;"SKIP";65,88;64,98;68,12;6;5;1;0,886;0,905;0,42;"S:5/6 BK:1/4 | S1:+ S2:+ S3:+ S4:+ S5:- S6:+ | BK1:- BK2:+ BK3:- BK4:-";22,9;48;0,9;2,6;TRUE;1,24;8,8;"";TRUE;FALSE;"SKIP";FALSE;"RSI retraced";9,68;"fails: HH/HL";"20260715";79;NA;58,5;NA;NA;72;70,1;NA;NA;81,3;-20,72;"FAIL";"NO DATA";"20260421 06:18";8;TRUE;FALSE;FALSE;""
"ECL";"Basic Materials";"XLB";269,49;2,35;4;"SKIP";270,03;276,79;253,13;8;"SKIP";268,95;282,38;235,38;3;3;0;0,357;0,897;0,92;"S:3/6 BK:0/4 | S1:- S2:- S3:- S4:+ S5:+ S6:+ | BK1:- BK2:- BK3:- BK4:-";20,1;46,8;-6;-3,6;TRUE;0,89;-3,8;"";TRUE;FALSE;"SKIP";NA;NA;NA;NA;"20260428";1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;8;FALSE;FALSE;FALSE;""
"MT";"Basic Materials";"XLB";59,71;3,42;8;"WATCH";59,83;57,43;65,84;3;"SKIP";59,59;58,59;62,1;6;4;2;0,817;0,835;0,74;"S:4/6 BK:2/4 | S1:+ S2:- S3:+ S4:+ S5:- S6:+ | BK1:- BK2:+ BK3:+ BK4:-";18;54,7;-8;2,9;TRUE;1,56;11,3;"";TRUE;FALSE;"SKIP";FALSE;"strong (near SMA20 + RSI retraced)";8,3;"fails: HH/HL";"20260430";3;NA;54,9;NA;49,6;63,6;91,9;NA;NA;96,4;-14,83;"FAIL";"Backwardation";"20260420 23:20";8;TRUE;FALSE;FALSE;""
"NEM";"Basic Materials";"XLB";120,7;4,1;7;"WATCH";120,94;113,62;139,24;3;"SKIP";120,46;115,92;131,82;8;5;3;0,624;0,83;1,47;"S:5/6 BK:3/4 | S1:+ S2:- S3:+ S4:+ S5:+ S6:+ | BK1:+ BK2:- BK3:+ BK4:+";17,6;58,7;4,2;5,2;TRUE;0,94;15,7;"";TRUE;FALSE;"SKIP";FALSE;"none";-7,21;"fails: HH/HL, RS<=bench, no pullback";"20260723";87;52,3;48,7;47,6;48,5;57;70,1;75,6;NA;85,7;-15,77;"FAIL";"Backwardation";"20260427 17:33";8;TRUE;FALSE;FALSE;""
"SCCO";"Basic Materials";"XLB";180,43;4,77;5;"WATCH";180,79;184,32;171,97;7;"TRADE";180,07;188,04;160,14;3;3;0;0,576;0,838;0,93;"S:3/6 BK:0/4 | S1:- S2:- S3:+ S4:- S5:+ S6:+ | BK1:- BK2:- BK3:- BK4:-";16,6;47,5;-11,7;-3,1;FALSE;0,46;7,2;"";TRUE;FALSE;"SKIP";FALSE;"at SMA20";-6,53;"fails: stage2, HH/HL, RS<=bench";"20260427";0;NA;54,3;NA;55,5;59,9;78,1;NA;NA;84,5;-9,75;"PARTIAL";"Contango";"20260420 19:16";8;TRUE;TRUE;TRUE;""
"ALB";"Basic Materials";"XLB";188,33;5,51;7;"WATCH";188,71;174,45;224,35;4;"SKIP";187,95;177,97;212,9;4;4;0;0,744;0,936;0,91;"S:4/6 BK:0/4 | S1:+ S2:+ S3:+ S4:- S5:- S6:+ | BK1:- BK2:- BK3:- BK4:-";31,3;52,8;-6,8;6,9;FALSE;0,92;2,2;"";TRUE;FALSE;"SKIP";FALSE;"strong (near SMA20 + RSI retraced)";-3,81;"fails: RS<=bench";"20260506";9;NA;65,3;NA;59,9;57,3;73,5;NA;NA;26,7;13,16;"FAIL";"Backwardation";"20260421 08:30";7;TRUE;FALSE;FALSE;""
"APD";"Basic Materials";"XLB";301,76;2,01;6;"WATCH";302,36;284,04;348,17;5;"WATCH";301,16;289,78;329,6;6;4;2;0,64;0,788;0,68;"S:4/6 BK:2/4 | S1:+ S2:+ S3:- S4:- S5:+ S6:+ | BK1:+ BK2:- BK3:+ BK4:-";13,7;62,1;10,1;5,2;FALSE;0,59;-2,8;"";TRUE;FALSE;"SKIP";FALSE;"at SMA20";11,84;"fails: stage2";"20260430";3;NA;31,6;NA;27,7;27;89,4;NA;NA;74,6;15,43;"FAIL";"Backwardation";"20260421 08:44";7;TRUE;FALSE;FALSE;""
