"sym";"sector";"rich_pass";"pull_pass";"cheap_pass";"stage";"pull_score";"pull_direction";"sector_rs_rank";"stage_pts";"sector_pts";"footprint_pts";"cheap_score";"cheap_side";"ivp_used";"ivp_2y";"vrp";"vehicle";"strike";"expiry";"spot_target_low";"spot_target_high";"targets_agreeing";"fib_confirms";"oi_cap_call";"oi_cap_put";"oi_concentration_pct";"chain_state";"crowded_flag";"effective_target";"rr";"entry_floor";"entry_ceiling";"headroom_band";"entry_state";"rank";"phase_of_drop";"sector_cluster";"schema_version"
"TXT";"Defence";TRUE;FALSE;FALSE;"none";2;"down";99;0;0;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"BKR";"Energy";TRUE;FALSE;FALSE;"none";0;"neutral";99;0;-2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"COP";"Energy";TRUE;FALSE;FALSE;"continuation";1;"neutral";99;3;-2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"CVX";"Energy";TRUE;FALSE;FALSE;"none";0;"neutral";99;0;-2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"DVN";"Energy";TRUE;FALSE;FALSE;"early";2;"neutral";99;4;-2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"EOG";"Energy";TRUE;FALSE;FALSE;"continuation";1;"neutral";99;3;-2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"FANG";"Energy";TRUE;FALSE;FALSE;"early";2;"neutral";99;4;-2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"HAL";"Energy";TRUE;FALSE;FALSE;"early";2;"neutral";99;4;-2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"MPC";"Energy";TRUE;FALSE;FALSE;"early";2;"neutral";99;4;-2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"NLR";"Energy";TRUE;FALSE;FALSE;"none";0;"neutral";99;0;-2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"OXY";"Energy";TRUE;FALSE;FALSE;"continuation";1;"neutral";99;3;-2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"PSX";"Energy";TRUE;FALSE;FALSE;"early";2;"neutral";99;4;-2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"RIG";"Energy";TRUE;FALSE;FALSE;"early";2;"neutral";99;4;-2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"SLB";"Energy";TRUE;FALSE;FALSE;"continuation";1;"neutral";99;3;-2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"STNG";"Energy";TRUE;FALSE;FALSE;"early";2;"neutral";99;4;-2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"TNK";"Energy";TRUE;FALSE;FALSE;"early";2;"neutral";99;4;-2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"VLO";"Energy";TRUE;FALSE;FALSE;"early";2;"neutral";99;4;-2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"WMB";"Energy";TRUE;FALSE;FALSE;"continuation";1;"neutral";99;3;-2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"XOM";"Energy";TRUE;FALSE;FALSE;"none";0;"neutral";99;0;-2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"XOP";"Energy";TRUE;FALSE;FALSE;"early";2;"neutral";99;4;-2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"AIG";"Financial";TRUE;FALSE;FALSE;"none";0;"neutral";99;0;-2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"AXP";"Financial";TRUE;FALSE;FALSE;"none";0;"neutral";99;0;-2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"BAC";"Financial";TRUE;FALSE;FALSE;"none";0;"neutral";99;0;-2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"CFG";"Financial";TRUE;FALSE;FALSE;"none";0;"neutral";99;0;-2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
